"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MPN","Manufacturer","LCSC Part","Description","#"
"C1,C2,C3,C15,C16","5","0.1uF","","","","easyeda2kicad:C0402","https://www.lcsc.com/datasheet/C60474.pdf","CC0402KRX7R7BB104","","C60474","Unpolarized capacitor, small symbol","1"
"C4","1","4.7uF","","","","easyeda2kicad:C0603","https://www.lcsc.com/datasheet/C19666.pdf","CL10A475KO8NNNC","","C19666","Unpolarized capacitor, small symbol","2"
"C5,C6,C9,C10,C11,C12,C13,C14","8","2.2uF","","","","easyeda2kicad:C0201","https://www.lcsc.com/datasheet/C335106.pdf","GRM033R61A225KE47D","","C335106","Unpolarized capacitor, small symbol","3"
"C7,C8","2","15uF","","","","easyeda2kicad:C1210","https://www.lcsc.com/datasheet/C694469.pdf","C3225X7R1C156MT000N","","C694469","Unpolarized capacitor, small symbol","4"
"C17,C18","2","1uF","","","","easyeda2kicad:C0402","https://www.lcsc.com/datasheet/C52923.pdf","CL05A105KA5NQNC","","C52923","Unpolarized capacitor, small symbol","5"
"CN1","1","PJ-327A 5JJ","","","","easyeda2kicad:AUDIO-SMD_PJ-327A5JJ","https://lcsc.com/product-detail/Audio-Video-Connectors_SHOU-HAN-PJ-327A-5JJ_C668605.html","PJ-327A 5JJ","SHOU HAN(首韩)","C668605","","6"
"LED1,LED2,LED3,LED4","4","SK6812_C5378720","","","","easyeda2kicad:LED-SMD_4P-L5.4-W5.0_SK6812","https://www.lcsc.com/datasheet/C5378720.pdf","SK6812","欧思科光电","C5378720","","7"
"R1,R2,R3","3","10k","","","","easyeda2kicad:R0402","https://www.lcsc.com/datasheet/C60490.pdf","RC0402FR-0710KL","","C60490","Resistor, small symbol","8"
"R4","1","200k","","","","easyeda2kicad:R0402","https://www.lcsc.com/datasheet/C25764.pdf","0402WGF2003TCE","","C25764","Resistor, small symbol","9"
"R5,R6,R7,R8","4","4.7k","","","","easyeda2kicad:R0402","https://www.lcsc.com/datasheet/C105871.pdf","RC0402FR-074K7L","","C105871","Resistor, small symbol","10"
"R9","1","330","","","","easyeda2kicad:R0402","https://www.lcsc.com/datasheet/C105875.pdf","RC0402FR-07330RL","","C105875","Resistor, small symbol","11"
"TP1,TP2","2","TestPoint","","Excluded from BOM","","TestPoint:TestPoint_Pad_D2.0mm","~","","","","test point","12"
"U1","1","CS43131-CNZR","","","","easyeda2kicad:TQFN-40_L5.0-W5.0-P0.40-TL-EP3.5","https://www.lcsc.com/datasheet/C965907.pdf","CS43131-CNZR","Cirrus Logic(凌云)","C965907","","13"
"U2","1","XIAO-RP2350-DIP","","Excluded from BOM","","Seeed Studio XIAO Series Library:XIAO-RP2350-DIP","","","","","","14"
"U3","1","PCA9306DCUR","","","","easyeda2kicad:SSOP-8_L2.0-W2.3-P0.50-LS3.1-BR","https://lcsc.com/product-detail/Interface-ICs_TI_PCA9306DCUR_PCA9306DCUR_C33196.html","PCA9306DCUR","TI(德州仪器)","C33196","","15"
"U4","1","SN74AXC4T245PWR","","","","easyeda2kicad:TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL","https://www.lcsc.com/datasheet/C2867798.pdf","SN74AXC4T245PWR","TI(德州仪器)","C2867798","","16"
"U5","1","XTPS7A2018","","","","easyeda2kicad:SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL","https://www.lcsc.com/datasheet/C51953293.pdf","XTPS7A2018-XC","SiChange(芯昌科技)","C51953293","","17"
"U6","1","TYPEC-955-ARP24","","","","easyeda2kicad:TYPE-C-SMD_TYPEC-955-ARP24","https://www.lcsc.com/datasheet/C2895018.pdf","TYPEC-955-ARP24","XUNPU(讯普)","C2895018","","18"
"U7","1","74AHCT1G125GV","","","","easyeda2kicad:SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL","https://www.lcsc.com/datasheet/C52140417.pdf","74AHCT1G125GV","MDD(辰达半导体)","C52140417","","19"
"USB1","1","TYPEC-952-ACP24","","","","easyeda2kicad:USB-C-SMD_TYPEC-952-ACP24","https://www.lcsc.com/datasheet/C2840398.pdf","TYPEC-952-ACP24","XUNPU(讯普)","C2840398","","20"
