"Designator","Value","Package","MidX","MidY","Rotation","Layer"
"C1","0.1uF","C0402",152.339147,-112.899600,0.000000,top
"C2","0.1uF","C0402",145.086547,-114.589600,-90.000000,top
"C3","0.1uF","C0402",153.802547,-115.506600,0.000000,top
"C4","4.7uF","C0603",156.369600,-115.767200,0.000000,top
"C5","2.2uF","C0402",154.297600,-117.930400,180.000000,top
"C6","2.2uF","C0402",145.288800,-118.196800,-90.000000,top
"C7","15uF","C1210",141.788547,-115.312600,0.000000,top
"C8","15uF","C1210",141.788800,-118.712400,180.000000,top
"C9","2.2uF","C0402",145.109600,-120.654400,90.000000,top
"C10","2.2uF","C0402",153.798400,-116.676000,0.000000,top
"C11","2.2uF","C0402",153.045600,-119.950400,-90.000000,top
"C12","2.2uF","C0402",150.575200,-121.588800,90.000000,top
"C13","2.2uF","C0402",151.816800,-120.808000,90.000000,top
"C14","2.2uF","C0402",146.707200,-120.631200,180.000000,top
"C15","0.1uF","C0402",136.806147,-111.160600,90.000000,top
"C16","0.1uF","C0402",136.856947,-105.521800,-90.000000,top
"C17","1uF","C0402",152.821747,-107.921200,0.000000,top
"C18","1uF","C0402",152.872547,-111.451800,180.000000,top
"CN1","PJ-327A 5JJ","AUDIO-SMD_PJ-327A5JJ",139.429347,-129.323400,90.000000,top
"LED1","SK6812_C5142047","LED-SMD_4P-L3.5-W2.8-BR-1",163.858000,-89.525763,0.000000,top
"LED2","SK6812_C5142047","LED-SMD_4P-L3.5-W2.8-BR-1",163.858000,-94.808963,0.000000,top
"LED3","SK6812_C5142047","LED-SMD_4P-L3.5-W2.8-BR-1",163.858000,-100.071643,0.000000,top
"LED4","SK6812_C5142047","LED-SMD_4P-L3.5-W2.8-BR-1",163.858000,-105.355243,0.000000,top
"LED5","SK6812_C5142047","LED-SMD_4P-L3.5-W2.8-BR-1",163.849200,-110.639200,0.000000,top
"LED6","SK6812_C5142047","LED-SMD_4P-L3.5-W2.8-BR-1",163.868000,-115.922400,0.000000,top
"LED7","SK6812_C5142047","LED-SMD_4P-L3.5-W2.8-BR-1",163.866400,-121.205200,0.000000,top
"LED8","SK6812_C5142047","LED-SMD_4P-L3.5-W2.8-BR-1",163.878000,-126.513600,0.000000,top
"LED9","SK6812_C5142047","LED-SMD_4P-L3.5-W2.8-BR-1",163.878000,-131.796800,0.000000,top
"R1","10k","R0402",153.206800,-114.093400,180.000000,top
"R2","10k","R0402",136.154747,-113.841200,90.000000,top
"R3","10k","R0402",137.390347,-113.841200,-90.000000,top
"R4","200k","R0402",144.348147,-103.730200,0.000000,top
"R5","4.7k","R0402",147.904147,-103.019000,0.000000,top
"R6","4.7k","R0402",147.856947,-101.749000,180.000000,top
"R7","4.7k","R0402",147.067747,-108.579800,90.000000,top
"R8","4.7k","R0402",144.934147,-110.611800,90.000000,top
"R9","330","R0402",165.918800,-84.112400,0.000000,top
"U1","CS43131-CNZR","TQFN-40_L5.0-W5.0-P0.40-TL-EP3.5",149.479397,-116.878600,0.000000,top
"U2","XIAO-RP2350-DIP","XIAO-RP2350-DIP",143.968947,-90.319000,0.000000,top
"U3","PCA9306DCUR","SSOP-8_L2.0-W2.3-P0.50-LS3.1-BR",145.531747,-106.219400,-90.000000,top
"U4","SN74AXC4T245PWR","TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL",140.324047,-108.294600,180.000000,top
"U5","XTPS7A2018","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL",150.445947,-109.978600,180.000000,top
"U7","74AHCT1G125GV","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL",163.201300,-84.446900,0.000000,top
"USB1","TYPEC-952-ACP24","USB-C-SMD_TYPEC-952-ACP24",152.772700,-142.739738,0.000000,top
"USB6","XY-TYPE-C-24PIN-040","USB-C-SMD_XY-TYPE-C-24PIN-040",152.772700,-150.139738,0.000000,top
